ablation,fold,acc,f1,kappa,mcc,train_time_s,lat_mean_ms,lat_std_ms,lat_p50_ms,lat_p95_ms,lat_p99_ms,throughput_wps,peak_mem_mb,n_params
full,1,0.6125696101829753,0.6625815692257145,0.5507356993822752,0.561639464105406,77.55549753177911,1.3332792938947677,0.3095467140148698,1.3064799904823303,1.8075855791568756,2.05708698272705,41142.809344853245,83.045376,185228
full,2,0.8947602131438721,0.899918358965232,0.8764334418997046,0.878118110388171,110.03329589497298,1.3300976011753083,0.12721897150694575,1.2876160144805908,1.6345471978187558,1.7546966183185575,42395.063390418014,83.045376,185228
full,3,0.843245372193777,0.8454546174371045,0.8178136345271433,0.8190288186733008,118.19370706006885,1.331905728340149,0.16445696239908042,1.2878719568252563,1.700187212228775,1.99685498714447,41756.328757565614,83.045376,185228
full,4,0.7718446601941747,0.7679466326344409,0.7359720987812096,0.7396307034161977,101.29173756483942,1.3461920614242553,0.20622961355538189,1.287984013557434,1.7162831902503966,1.8681718492507935,42253.003848065455,83.045376,185228
full,5,0.816,0.8436125865581154,0.7774443193640902,0.7821415473796273,130.16125000081956,1.3345349135398865,0.15867341604986182,1.288032054901123,1.647227180004119,1.9721055662631988,41354.20050727163,83.045376,185228
no_stat,1,0.6463802704852825,0.6730695143533879,0.5899311067614014,0.5942050492056921,117.0603138487786,1.3798620156049728,0.22144020618804744,1.2868160009384155,1.6540464282035823,1.8413392043113705,41332.37584238964,82.808832,182036
no_stat,2,0.8938721136767318,0.897315373032786,0.8755917866188846,0.8766904272477025,160.30964976083487,1.3320101118087768,0.13410214826892822,1.2836799621582031,1.5950527667999268,1.9268159830570217,42381.11232617167,82.808832,182036
no_stat,3,0.8475777865301299,0.8505211769172925,0.8229260019682637,0.8236879718843579,157.6825251346454,1.317366845726967,0.15374327178908948,1.2839199900627136,1.6807152330875397,1.8050969052314756,43502.83158364566,82.808832,182036
no_stat,4,0.7856609410007468,0.7890453333072024,0.7515108936621192,0.7545087258006363,126.301278533414,1.3331567976474763,0.15090399995928708,1.2843199968338013,1.6281087577342985,1.9596188259124756,42727.43156564027,82.808832,182036
no_stat,5,0.8154666666666667,0.854129155564844,0.7769424317211757,0.7811546107784052,109.78298567980528,1.4343746544122695,0.24110837244268513,1.3055999875068665,1.7334287524223324,1.885727046728134,40787.42597177168,82.808832,182036
no_topo,1,0.6579156722354813,0.6951072814409498,0.6032674595788033,0.6102143924038295,138.71382449008524,1.3976174101829528,0.2180897866758785,1.2855519652366638,1.7384336531162259,1.8430809986591328,41615.293654512025,82.823168,183828
no_topo,2,0.8845470692717584,0.8886752498214439,0.8647614582166445,0.8654713805189614,137.19567586947232,1.3556013444662094,0.1759944806993728,1.2846879959106445,1.7459231495857237,1.8635519492626187,41209.443491731996,82.823168,183828
no_topo,3,0.8507286333202048,0.8489970101368092,0.8265708819683683,0.8293630275974935,115.78673275653273,1.3409399658441543,0.1650549179799298,1.2835040092468262,1.7347439765930175,1.886698828935623,42102.68328104788,82.823168,183828
no_topo,4,0.7778192681105303,0.796762941357942,0.7418142305580887,0.7439590580137275,172.24913290329278,1.330020033121109,0.16499583221222955,1.2834880352020264,1.7249472320079788,1.8821523785591119,42571.38153510993,82.823168,183828
no_topo,5,0.8069333333333333,0.8263567726032839,0.7661416525231894,0.7715932841037141,123.93507405836135,1.3612229778766631,0.4333888501187349,1.0468800067901611,1.9332624435424806,2.0691197657585145,41785.87420685131,82.823168,183828
patches_only,1,0.6137629276054097,0.6424950958212945,0.5522288185881169,0.5586708037091555,110.68102032039315,1.335223616719246,0.16427163402059114,1.2772480249404907,1.7346927702426906,1.8819766569137573,41964.795406446734,82.588672,180636
patches_only,2,0.8960923623445826,0.8910874142333493,0.878155913022548,0.8791403474193711,106.709516890347,1.314833535194397,0.15058877402775558,1.276960015296936,1.6339808046817779,1.786894736289978,42891.286659893136,82.588672,180636
patches_only,3,0.83536825521859,0.8386944412094487,0.8086498126888393,0.8095859851223128,117.8665826972574,1.3530554864406585,0.2918949896657276,1.2784960269927979,1.7733663439750669,2.0001353192329403,42293.378585131206,82.588672,180636
patches_only,4,0.7826736370425691,0.8011163509360142,0.7477907360027626,0.7509307754001787,150.03886186797172,1.3127783029079436,0.11655980576749905,1.2770879864692688,1.604651254415512,1.7487717974185943,43368.37346371006,82.588672,180636
patches_only,5,0.8037333333333333,0.8380198279918821,0.762324671388024,0.7673754006748691,98.53350093495101,1.330961855173111,0.16702737413487848,1.2781120538711548,1.6318895936012265,1.8239459526538844,43108.452166442046,82.588672,180636
